Endereco;Bairro;Ano de Construcao (Unidade); Area Terreno Total ; Area Construida Adquirida ;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade); Valor Declarado ; Valor Base Calculo ;Zona Uso;Data Quitacao
ALA DO IPE BRANCO 457 - SAO LUIZ - 31275-080 - BELO HORIZONTE - MG;SAO LUIZ;1990;1.000,00;157;157;P3;1;CA;RESIDENCIAL;950.000,00;1.292.874,50;ZP2;02/01/2020
ALA DO IPE BRANCO 535 - SAO LUIZ - 31275-080 - BELO HORIZONTE - MG;SAO LUIZ;1978;1.000,00;606;606;P3;1;CA;RESIDENCIAL;661.500,00;1.469.153,40;ZP2;02/01/2020
AVE CELSO PORFIRIO MACHADO 197 - BELVEDERE - 30320-400 - BELO HORIZONTE - MG;BELVEDERE;0;361; -   ;0;TE;1;LV;TERRITORIAL;700.000,00;700.000,00;ZP2;02/01/2020
AVE DEPUTADO CRISTOVAM CHIARADIA 200 - APT 103 BLOCO 2 - BURITIS - 30575-815 - BELO HORIZONTE - MG;BURITIS;2010;8.643,80;110,86;110,86;P4;0,007526;AP;RESIDENCIAL;281.979,00;437.897,00;ZAR2;02/01/2020
AVE DOS ESPORTES 760 - APT 303 - CORACAO EUCARISTICO - 30535-532 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;1986;360;120;120;P3;0,16666;AP;RESIDENCIAL;161.808,00;405.840,00;ZA;02/01/2020
AVE GUARAPARI 511 - BLOCO D APT 12 - SANTA AMELIA - 31560-300 - BELO HORIZONTE - MG;SANTA AMELIA;1991;6.460,00;69;69;P3;0,0125;AP;RESIDENCIAL;240.000,00;240.000,00;ZAP;02/01/2020
AVE PETROLINA 795 - BLOCO 1 APT 703 - SAGRADA FAMILIA - 31030-370 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2003;1.624,34;66,6;66,6;P3;0,01964;AP;RESIDENCIAL;48.412,00;274.181,54;ZAP;02/01/2020
AVE PROFESSOR MARIO WERNECK 2138 - APT 803 - BURITIS - 30575-180 - BELO HORIZONTE - MG;BURITIS;2015;1.510,00;143,63;143,63;P4;0,02203;AP;RESIDENCIAL;333.975,00;398.136,60;ZAR2;02/01/2020
AVE SALAMANCA 178 - APT 302 - EUROPA - 31620-010 - BELO HORIZONTE - MG;EUROPA;2019;546;55,64;55,64;P2;0,09785;AP;RESIDENCIAL;180.000,00;180.000,00;ZAR2;02/01/2020
RUA AFONSO RICALDONI 21 - APT 304 - CASTELO - 30840-520 - BELO HORIZONTE - MG;CASTELO;2014;904;156,73;156,73;P4;0,04461;AP;RESIDENCIAL;420.000,00;429.999,93;ZAR2;02/01/2020
