"'data_estimativa'";"data_pagamento";"base_de_calculo";"perc_transmitido";"'finalidade_construcao'";"'logradouro'";"n_endereco";"n_unidade";"'complemento_endereco'";"'bairro'";"cep";"area_total_terreno";"area_constr_total";"area_constr_privativa";"ano_construcao";"'n_matricula_reg_imoveis'";"'n_zona_reg_imoveis'";"'situacao'"
"'2015-01-22'";"2015-01-22 00:00:00";"460000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"375""";"";"'apto 403 edf luar do rosarinho'";"'Encruzilhada'";"";"798,91";"118,55";"118,55";"2007""";"''";"''";"'CONCLUIDO'"
"'2015-09-10'";"2015-09-10 00:00:00";"100000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua caio pereira'";"341""";"";"'apto 0302 edf cristal'";"'Encruzilhada'";"";"504,0";"156,45";"156,45";"1969""";"''";"''";"'CONCLUIDO'"
"'2015-09-01'";"2015-09-01 00:00:00";"280000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua caio pereira'";"341""";"";"'apto 0302 edf cristal'";"'Encruzilhada'";"";"504,0";"156,45";"156,45";"1969""";"''";"''";"'CONCLUIDO'"
"'2015-01-02'";"2015-01-02 00:00:00";"790000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 902 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-25'";"2015-02-25 00:00:00";"853000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1402 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-09-14'";"2015-09-14 00:00:00";"950000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1501 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-04-08'";"2015-04-08 00:00:00";"855000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1602 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-04'";"2015-02-04 00:00:00";"810000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1502 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-01-15'";"2015-01-15 00:00:00";"105120.58";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 302 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-11-20'";"2015-11-20 00:00:00";"810000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 401 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-03-04'";"2015-03-04 00:00:00";"839529.04";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 901 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-10-07'";"2015-10-07 00:00:00";"840000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1101 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-26'";"2015-02-26 00:00:00";"700000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 801 edf acantis'";"'Encruzilhada'";"";"1147,48";"179,0";"179,0";"2005""";"''";"''";"'CONCLUIDO'"
"'2015-09-21'";"2015-09-21 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 0602 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2015-12-01'";"2015-12-01 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 1001 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2015-05-20'";"2015-05-20 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 101 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
