data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2024/12/17 00:00:00;;64000.00;100.00;'APARTAMENTO';'Rua SETE MIL CENTO NOVENTA SETE';140;'C218E';'QD C BL E AP 218';'RESTINGA';91790576;0.00;53.10;46.78;;'199414';'3';'Impressa'
2024/07/05 00:00:00;;40000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua FELIPE NERI';434;'3';;'AUXILIADORA';90440150;0.00;13.53;12.00;;'74146';'1';'Lançada'
2024/07/05 00:00:00;;235000.00;100.00;'SALA COMERCIAL';'Rua FELIPE NERI';434;'501';;'AUXILIADORA';90440150;0.00;57.66;38.18;1986;'74131';'1';'Lançada'
2024/07/04 00:00:00;;20000.00;33.33;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida DR NILO PECANHA';2863;'45';;'CHACARA PEDRAS';91330000;0.00;18.22;12.00;1995;'92871';'4';'Lançada'
2024/07/04 00:00:00;;330000.00;33.33;'APARTAMENTO';'Avenida DR NILO PECANHA';2863;'805';;'CHACARA PEDRAS';91330000;0.00;197.00;99.61;1995;'92811';'4';'Lançada'
2024/07/05 00:00:00;;110000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida TULIO DE ROSE';500;'4';;'JARDIM EUROPA';91340110;0.00;28.67;21.16;2012;'157719';'1';'Lançada'
2024/07/05 00:00:00;;130000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida TULIO DE ROSE';500;'3';;'JARDIM EUROPA';91340110;0.00;34.67;24.67;2012;'157718';'4';'Lançada'
2024/07/12 00:00:00;;875000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua DR JOAO INACIO';1520;;;'SAO JOAO';90230180;247.00;579.82;579.82;2006;'29929';'1';'Lançada'
2024/07/12 00:00:00;;810000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua DR JOAO INACIO';1530;;;'SAO JOAO';90230180;269.00;479.10;479.10;1990;'22937';'1';'Lançada'
2024/06/27 00:00:00;;348000.00;100.00;'APART-HOTEL(FLAT)';'Avenida SEVERO DULLIUS';2055;'251';;'ANCHIETA';90200310;0.00;44.42;26.21;2012;'186806';'4';'Lançada'
2024/06/27 00:00:00;;348000.00;100.00;'APART-HOTEL(FLAT)';'Avenida SEVERO DULLIUS';2055;'253';;'ANCHIETA';90200310;0.00;44.42;26.21;2012;'186607';'4';'Lançada'
